TIMESTAMP ECG(microV)
789051600000000000 201
789051600007694208 -165
789051600015388544 -232
789051600023082752 -120
789051600030776960 -120
789051600038471168 -172
789051600046165376 -146
789051600053859584 -134
789051600061553920 -149
789051600069248128 -134
789051600076942336 -120
789051600084636544 -125
789051600092330752 -125
789051600100024960 -116
789051600107719296 -116
789051600115413504 -118
789051600123107712 -111
789051600130801920 -99
789051600138496128 -97
789051600146190336 -94
789051600153884672 -82
789051600161578880 -71
789051600169273088 -63
789051600176967296 -61
789051600184661504 -54
789051600192355712 -40
789051600200050048 -26
789051600207744256 -16
789051600215438464 -9
789051600223132672 -2
789051600230826880 -2
789051600238521088 -4
789051600246215424 0
789051600253909632 -2
789051600261603840 -9
789051600269298048 -11
789051600276992256 -21
789051600284686464 -28
789051600292380672 -35
789051600300075008 -44
789051600307769216 -54
789051600315463424 -71
789051600323157632 -89
789051600330851840 -94
789051600338546048 -87
789051600346240384 -82
789051600353934592 -78
789051600361628800 -73
789051600369323008 -71
789051600377017216 -63
789051600384711424 -56
789051600392405760 -52
789051600400099968 -44
789051600407794176 -42
789051600415488384 -47
789051600423182592 -49
789051600430876800 -40
789051600438571136 -33
789051600446265344 -33
789051600453959552 -35
789051600461653760 -33
789051600469347968 -33
789051600477042176 -33
789051600484736512 -35
789051600492430764 -37
789051600500125056 -30
789051600507819392 -26
789051600515513856 -14
789051600523208192 11
789051600530902528 28
789051600538596864 23
789051600546291328 11
789051600553985664 -4
789051600561680000 -37
789051600569374336 -56
789051600577068800 -47
789051600584763136 -33
789051600592457472 -42
789051600600151808 -49
789051600607846272 -37
789051600615540608 -30
789051600623234944 -33
789051600630929280 -30
789051600638623744 -18
789051600646318080 -18
789051600654012416 -49
789051600661706752 -89
789051600669401216 -40
789051600677095552 163
789051600684789888 461
789051600692484224 672
789051600700178688 589
789051600707873024 229
789051600715567360 -108
789051600723261696 -156
789051600730956160 -37
789051600738650496 -35
789051600746344832 -89
789051600754039168 -61
789051600761733632 -37
789051600769427968 -54
789051600777122304 -54
789051600784816640 -40
789051600792511104 -35
789051600800205440 -28
789051600807899776 -18
789051600815594112 -16
789051600823288576 -14
789051600830982912 -9
789051600838677248 -4
789051600846371584 4
789051600854066048 18
789051600861760384 23
789051600869454720 23
789051600877149056 35
789051600884843520 47
789051600892537856 56
789051600900232192 66
789051600907926528 80
789051600915620992 89
789051600923315328 85
789051600931009664 85
789051600938704000 97
789051600946398464 99
789051600954092800 89
789051600961787136 78
789051600969481472 68
789051600977175936 66
789051600984870272 56
789051600992564608 40
789051601000258944 30
789051601007953408 18
789051601015647744 -2
789051601023342080 -18
789051601031036416 -26
789051601038730880 -28
789051601046425216 -30
789051601054119640 -35
789051601061814528 -37
789051601069509376 -30
789051601077204096 -26
789051601084898944 -28
789051601092593664 -23
789051601100288512 -28
789051601107983232 -49
789051601115678080 -61
789051601123372800 -52
789051601131067648 -47
789051601138762368 -56
789051601146457216 -61
789051601154151936 -56
789051601161846784 -66
789051601169541504 -87
789051601177236352 -85
789051601184931072 -71
789051601192625920 -73
789051601200320640 -82
789051601208015488 -75
789051601215710208 -73
789051601223405056 -78
789051601231099776 -71
789051601238794624 -61
789051601246489344 -49
789051601254184192 -23
789051601261878912 -11
789051601269573760 -21
789051601277268480 -37
789051601284963328 -61
789051601292658176 -75
789051601300352896 -63
789051601308047744 -54
789051601315742464 -59
789051601323437312 -61
789051601331132032 -61
789051601338826880 -63
789051601346521600 -63
789051601354216448 -56
789051601361911168 -49
789051601369606016 -49
789051601377300736 -66
789051601384995584 -108
789051601392690304 -118
789051601400385152 9
789051601408079872 281
789051601415774720 561
789051601423469440 615
789051601431164288 341
789051601438859008 -49
789051601446553856 -222
789051601454248576 -127
789051601461943424 -71
789051601469638144 -130
789051601477332992 -134
789051601485027712 -104
789051601492722560 -118
789051601500417280 -120
789051601508112128 -99
789051601515806976 -99
789051601523501696 -104
789051601531196544 -99
789051601538891264 -94
789051601546586112 -89
789051601554280832 -82
789051601561975680 -80
789051601569670400 -82
789051601577365248 -82
789051601585059968 -73
789051601592754816 -63
789051601600449536 -56
789051601608144384 -52
789051601615839034 -47
789051601623533312 -37
789051601631227648 -26
789051601638922112 -14
789051601646616448 -9
789051601654310784 -7
789051601662005120 -2
789051601669699584 -9
789051601677393920 -23
789051601685088256 -26
789051601692782592 -23
789051601700477056 -28
789051601708171392 -37
789051601715865728 -40
789051601723560064 -44
789051601731254528 -59
789051601738948864 -75
789051601746643200 -82
789051601754337536 -87
789051601762032000 -94
789051601769726336 -101
789051601777420672 -99
789051601785115008 -89
789051601792809472 -85
789051601800503808 -87
789051601808198144 -75
789051601815892480 -66
789051601823586944 -63
789051601831281280 -59
789051601838975616 -59
789051601846669952 -59
789051601854364416 -59
789051601862058752 -54
789051601869753088 -47
789051601877447424 -47
789051601885141888 -54
789051601892836224 -52
789051601900530560 -44
789051601908224896 -42
789051601915919360 -52
789051601923613696 -52
789051601931308032 -42
789051601939002368 -44
789051601946696832 -47
789051601954391168 -42
789051601962085504 -33
789051601969779840 -30
789051601977474304 -35
789051601985168640 -37
789051601992862976 -33
789051602000557312 -26
789051602008251776 -21
789051602015946112 -21
789051602023640448 -14
789051602031334784 2
789051602039029248 11
789051602046723584 11
789051602054417920 11
789051602062112256 -2
789051602069806720 -18
789051602077501056 -26
789051602085195392 -23
789051602092889728 -23
789051602100584192 -26
789051602108278528 -18
789051602115972864 -9
789051602123667200 -11
789051602131361664 -18
789051602139056000 -18
789051602146750336 -14
789051602154444672 -30
789051602162139136 -75
789051602169833472 -73
789051602177527910 92
789051602185222272 400
789051602192916608 655
789051602200611072 646
789051602208305408 336
789051602215999744 -66
789051602223694080 -215
789051602231388544 -94
789051602239082880 -49
789051602246777216 -118
789051602254471552 -101
789051602262166016 -63
789051602269860352 -78
789051602277554688 -80
789051602285249024 -59
789051602292943488 -47
789051602300637824 -49
789051602308332160 -49
789051602316026496 -47
789051602323720960 -33
789051602331415296 -21
789051602339109632 -23
789051602346803968 -23
789051602354498432 -7
789051602362192768 2
789051602369887104 4
789051602377581440 14
789051602385275904 26
789051602392970240 33
789051602400664576 40
789051602408358912 56
789051602416053376 68
789051602423747712 73
789051602431442048 82
789051602439136384 92
789051602446830848 87
789051602454525184 75
789051602462219520 73
789051602469913856 78
789051602477608320 71
789051602485302656 49
789051602492996992 40
789051602500691328 37
789051602508385792 26
789051602516080128 -2
789051602523774464 -16
789051602531468800 -21
789051602539163264 -40
789051602546857600 -49
789051602554551936 -44
789051602562246272 -44
789051602569940736 -49
789051602577635072 -59
789051602585329408 -68
789051602593023744 -61
789051602600718208 -49
789051602608412544 -47
789051602616106880 -42
789051602623801216 -40
789051602631495680 -44
789051602639190016 -47
789051602646884352 -44
789051602654578688 -40
789051602662273152 -42
789051602669967488 -44
789051602677661824 -42
789051602685356160 -42
789051602693050624 -47
789051602700744960 -52
789051602708439296 -47
789051602716133632 -40
789051602723828096 -44
789051602731522432 -47
789051602739216786 -40
789051602746911104 -35
789051602754605440 -37
789051602762299904 -40
789051602769994240 -37
789051602777688576 -23
789051602785382912 -16
789051602793077376 -16
789051602800771712 -14
789051602808466048 -16
789051602816160384 -42
789051602823854848 -63
789051602831549184 -56
789051602839243520 -52
789051602846937856 -56
789051602854632320 -52
789051602862326656 -47
789051602870020992 -44
789051602877715328 -40
789051602885409792 -35
789051602893104128 -33
789051602900798464 -30
789051602908492800 -40
789051602916187264 -68
789051602923881600 -97
789051602931575936 -30
789051602939270272 213
789051602946964736 539
789051602954659072 710
789051602962353408 539
789051602970047744 134
789051602977742208 -163
789051602985436544 -149
789051602993130880 -42
789051603000825216 -71
789051603008519680 -101
789051603016214016 -63
789051603023908352 -54
789051603031602688 -68
789051603039297152 -54
789051603046991488 -44
789051603054685824 -49
789051603062380160 -44
789051603070074624 -30
789051603077768960 -23
789051603085463296 -18
789051603093157632 -16
789051603100852096 -18
789051603108546432 -14
789051603116240768 0
789051603123935104 11
789051603131629568 16
789051603139323904 18
789051603147018240 28
789051603154712576 42
789051603162407040 61
789051603170101376 71
789051603177795712 73
789051603185490048 73
789051603193184512 80
789051603200878848 89
789051603208573184 82
789051603216267520 75
789051603223961984 73
789051603231656320 61
789051603239350656 47
789051603247044992 42
789051603254739456 35
789051603262433792 18
789051603270128128 -7
789051603277822464 -23
789051603285516928 -30
789051603293211264 -44
789051603300905664 -54
789051603308600576 -54
789051603316295424 -54
789051603323990144 -56
789051603331684992 -56
789051603339379712 -52
789051603347074560 -49
789051603354769280 -44
789051603362464128 -42
789051603370158848 -44
789051603377853696 -49
789051603385548416 -59
789051603393243264 -63
789051603400937984 -56
789051603408632832 -56
789051603416327552 -71
789051603424022400 -73
789051603431717120 -66
789051603439411968 -66
789051603447106688 -73
789051603454801536 -73
789051603462496256 -68
789051603470191104 -66
789051603477885824 -68
789051603485580672 -71
789051603493275392 -63
789051603500970240 -63
789051603508664960 -73
789051603516359808 -71
789051603524054528 -61
789051603531749376 -63
789051603539444224 -71
789051603547138944 -68
789051603554833792 -61
789051603562528512 -56
789051603570223360 -42
789051603577918080 -21
789051603585612928 -7
789051603593307648 -16
789051603601002496 -42
789051603608697216 -61
789051603616392064 -61
789051603624086784 -59
789051603631781632 -63
789051603639476352 -63
789051603647171200 -63
789051603654865920 -63
789051603662560768 -61
789051603670255488 -61
789051603677950336 -59
789051603685645056 -61
789051603693339904 -63
789051603701034624 -73
789051603708729472 -113
789051603716424192 -125
789051603724119040 11
789051603731813760 300
789051603739508608 580
789051603747203328 634
789051603754898176 376
789051603762593024 -14
789051603770287744 -217
789051603777982592 -144
789051603785677312 -80
789051603793372160 -132
789051603801066880 -134
789051603808761728 -106
789051603816456448 -113
789051603824151296 -108
789051603831846016 -99
789051603839540864 -101
789051603847235584 -92
789051603854930432 -80
789051603862625058 -78
789051603870319616 -80
789051603878014208 -75
789051603885708800 -63
789051603893403392 -61
789051603901097984 -56
789051603908792448 -42
789051603916487040 -37
789051603924181632 -52
789051603931876224 -59
789051603939570816 -42
789051603947265408 -23
789051603954960000 -14
789051603962654592 -9
789051603970349056 -2
789051603978043648 7
789051603985738240 14
789051603993432832 14
789051604001127424 16
789051604008822016 7
789051604016516608 -28
789051604024211200 -44
789051604031905792 -33
789051604039600256 -35
789051604047294848 -56
789051604054989440 -71
789051604062684032 -80
789051604070378624 -97
789051604078073216 -111
789051604085767808 -118
789051604093462400 -113
789051604101156992 -118
789051604108851456 -127
789051604116546048 -125
789051604124240640 -113
789051604131935232 -111
789051604139629824 -111
789051604147324416 -101
789051604155019008 -97
789051604162713600 -97
789051604170408064 -92
789051604178102656 -85
789051604185797248 -80
789051604193491840 -82
789051604201186432 -87
789051604208881024 -89
789051604216575616 -87
789051604224270208 -87
789051604231964800 -87
789051604239659264 -82
789051604247353856 -82
789051604255048448 -82
789051604262743040 -80
789051604270437632 -80
789051604278132224 -78
789051604285826816 -80
789051604293521408 -78
789051604301216000 -66
789051604308910464 -63
789051604316605056 -73
789051604324299648 -73
789051604331994240 -63
789051604339688832 -61
789051604347383424 -63
789051604355078016 -61
789051604362772608 -59
789051604370467072 -59
789051604378161664 -56
789051604385856256 -54
789051604393550848 -44
789051604401245440 -21
789051604408940032 0
789051604416634624 2
789051604424329194 -9
789051604432023808 -30
789051604439718400 -49
789051604447412992 -49
789051604455107584 -42
789051604462802176 -42
789051604470496640 -49
789051604478191232 -49
789051604485885824 -47
789051604493580416 -54
789051604501275008 -75
789051604508969600 -80
789051604516664192 -63
789051604524358784 -66
789051604532053248 -92
789051604539747840 -120
789051604547442432 -92
789051604555137024 89
789051604562831616 390
789051604570526208 632
789051604578220800 596
789051604585915392 260
789051604593609984 -106
789051604601304448 -210
789051604608999040 -101
789051604616693632 -75
789051604624388224 -130
789051604632082816 -108
789051604639777408 -82
789051604647472000 -97
789051604655166592 -94
789051604662861184 -78
789051604670555648 -78
789051604678250240 -78
789051604685944832 -66
789051604693639424 -56
789051604701334016 -56
789051604709028608 -59
789051604716723200 -44
789051604724417792 -28
789051604732112256 -30
789051604739806848 -28
789051604747501440 -14
789051604755196032 -7
789051604762890624 2
789051604770585216 14
789051604778279808 26
789051604785974400 37
789051604793668992 42
789051604801363456 40
789051604809058048 52
789051604816752640 66
789051604824447232 63
789051604832141824 59
789051604839836416 59
789051604847531008 54
789051604855225600 42
789051604862920192 33
789051604870614656 26
789051604878309248 16
789051604886003840 -4
789051604893698432 -28
789051604901393024 -40
789051604909087616 -49
789051604916782208 -61
789051604924476800 -68
789051604932171264 -68
789051604939865856 -71
789051604947560448 -73
789051604955255040 -68
789051604962949632 -63
789051604970644224 -61
789051604978338816 -61
789051604986033328 -56
789051604993728128 -49
789051605001422976 -47
789051605009117696 -52
789051605016812544 -54
789051605024507264 -52
789051605032202112 -63
789051605039896832 -80
789051605047591680 -78
789051605055286400 -71
789051605062981248 -78
789051605070675968 -82
789051605078370816 -80
789051605086065536 -78
789051605093760384 -75
789051605101455104 -75
789051605109149952 -73
789051605116844672 -68
789051605124539520 -73
789051605132234240 -78
789051605139929088 -71
789051605147623808 -63
789051605155318656 -66
789051605163013376 -66
789051605170708224 -63
789051605178402944 -61
789051605186097792 -63
789051605193792512 -63
789051605201487360 -54
789051605209182080 -44
789051605216876928 -37
789051605224571776 -11
789051605232266496 7
789051605239961344 -7
789051605247656064 -35
789051605255350912 -44
789051605263045632 -52
789051605270740480 -59
789051605278435200 -59
789051605286130048 -52
789051605293824768 -42
789051605301519616 -42
789051605309214336 -54
789051605316909184 -54
789051605324603904 -42
789051605332298752 -37
789051605339993472 -40
789051605347688320 -47
789051605355383040 -78
789051605363077888 -113
789051605370772608 -33
789051605378467456 243
789051605386162176 577
789051605393857024 722
789051605401551744 532
789051605409246592 111
789051605416941312 -203
789051605424636160 -196
789051605432330880 -85
789051605440025728 -108
789051605447720576 -149
789051605455415296 -120
789051605463110144 -101
789051605470804864 -101
789051605478499712 -89
789051605486194432 -87
789051605493889280 -89
789051605501584000 -78
789051605509278848 -63
789051605516973568 -63
789051605524668416 -56
789051605532363136 -42
789051605540057984 -35
789051605547752722 -37
789051605555447040 -26
789051605563141376 -4
789051605570835840 -2
789051605578530176 2
789051605586224512 16
789051605593918848 26
789051605601613312 26
789051605609307648 26
789051605617001984 42
789051605624696320 59
789051605632390784 52
789051605640085120 44
789051605647779456 59
789051605655473792 68
789051605663168256 54
789051605670862592 40
789051605678556928 35
789051605686251264 30
789051605693945728 18
789051605701640064 2
789051605709334400 -7
789051605717028736 -23
789051605724723200 -44
789051605732417536 -63
789051605740111872 -66
789051605747806208 -63
789051605755500672 -68
789051605763195008 -73
789051605770889344 -68
789051605778583680 -59
789051605786278144 -54
789051605793972480 -54
789051605801666816 -44
789051605809361152 -37
789051605817055616 -49
789051605824749952 -52
789051605832444288 -35
789051605840138624 -35
789051605847833088 -47
789051605855527424 -44
789051605863221760 -42
789051605870916096 -47
789051605878610560 -47
789051605886304896 -40
789051605893999232 -40
789051605901693568 -49
789051605909388032 -54
789051605917082368 -47
789051605924776704 -42
789051605932471040 -40
789051605940165504 -40
789051605947859840 -37
789051605955554176 -40
789051605963248512 -44
789051605970942976 -40
789051605978637312 -33
789051605986331648 -30
789051605994025984 -33
789051606001720448 -35
789051606009414784 -33
789051606017109120 -33
789051606024803456 -28
789051606032497920 -23
789051606040192256 -18
789051606047886592 -2
789051606055580928 18
789051606063275392 26
789051606070969728 16
789051606078664064 0
789051606086358400 -18
789051606094052864 -35
789051606101747200 -35
789051606109441598 -28
789051606117135872 -28
789051606124830208 -28
789051606132524672 -30
789051606140219008 -44
789051606147913344 -66
789051606155607680 -63
789051606163302144 -47
789051606170996480 -47
789051606178690816 -78
789051606186385152 -118
789051606194079616 -111
789051606201773952 44
789051606209468288 343
789051606217162624 620
789051606224857088 648
789051606232551424 359
789051606240245760 -40
789051606247940096 -220
789051606255634560 -123
789051606263328896 -56
789051606271023232 -120
789051606278717568 -125
789051606286412032 -80
789051606294106368 -85
789051606301800704 -92
789051606309495040 -73
789051606317189504 -66
789051606324883840 -71
789051606332578176 -59
789051606340272512 -42
789051606347966976 -44
789051606355661312 -47
789051606363355648 -37
789051606371049984 -30
789051606378744448 -21
789051606386438784 -9
789051606394133120 -2
789051606401827456 7
789051606409521920 18
789051606417216256 23
789051606424910592 33
789051606432604928 52
789051606440299392 61
789051606447993728 59
789051606455688064 68
789051606463382400 80
789051606471076864 82
789051606478771200 75
789051606486465536 71
789051606494159872 71
789051606501854336 66
789051606509548672 54
789051606517243008 47
789051606524937344 40
789051606532631808 16
789051606540326144 -7
789051606548020480 -18
789051606555714816 -30
789051606563409280 -52
789051606571103616 -61
789051606578797952 -52
789051606586492288 -49
789051606594186752 -61
789051606601881088 -61
789051606609575424 -44
789051606617269760 -40
789051606624964224 -47
789051606632658560 -44
789051606640352896 -35
789051606648047232 -40
789051606655741696 -47
789051606663436032 -42
789051606671130476 -35
789051606678824832 -35
789051606686519168 -40
789051606694213632 -42
789051606701907968 -37
789051606709602304 -35
789051606717296640 -37
789051606724991104 -40
789051606732685440 -42
789051606740379776 -49
789051606748074112 -66
789051606755768576 -75
789051606763462912 -66
789051606771157248 -56
789051606778851584 -66
789051606786546048 -71
789051606794240384 -59
789051606801934720 -49
789051606809629056 -49
789051606817323520 -52
789051606825017856 -49
789051606832712192 -47
789051606840406528 -47
789051606848100992 -49
789051606855795328 -52
789051606863489664 -61
789051606871184000 -78
789051606878878464 -80
789051606886572800 -63
789051606894267136 -44
789051606901961472 -18
